segment_name,segment_id,point_index,longitude,latitude,plate1,plate2,boundary_type
RI-PA,113,25,-107.816,18.936,RI,PA,:OSR
RI-PA,113,26,-107.523,18.8632,RI,PA,:OSR
RI-PA,113,27,-107.272,18.7561,RI,PA,:OSR
RI-PA,113,28,-107.002,18.6471,RI,PA,:OSR
RI-PA,113,29,-106.756,18.5899,RI,PA,:OSR
RI-PA,113,30,-106.527,18.5444,RI,PA,:OSR
RI-PA,113,31,-106.244,18.5199,RI,PA,:OSR
RI-PA,113,32,-106.281,18.2814,RI,PA,:OSR
RI-PA,113,33,-106.311,18.1198,RI,PA,:OSR
RI-PA,113,34,-106.318,18.0163,RI,PA,:OSR
RI-PA,113,35,-106.308,17.929,RI,PA,:OSR
RI-PA,113,36,-105.586,17.8808,RI,PA,:OSR
NA-RI,114,0,-108.582,21.9047,NA,RI,:OCB
NA-RI,114,1,-108.397,21.8348,NA,RI,:OCB
NA-RI,114,2,-108.114,21.72,NA,RI,:OCB
NA-RI,114,3,-107.928,21.6861,NA,RI,:OCB
NA-RI,114,4,-107.774,21.7397,NA,RI,:OCB
NA-RI,114,5,-107.586,21.7417,NA,RI,:OCB
NA-RI,114,6,-107.393,21.7478,NA,RI,:OCB
NA-RI,114,7,-107.171,21.7522,NA,RI,:OCB
NA-RI,114,8,-107.046,21.7536,NA,RI,:OCB
NA-RI,114,9,-106.89,21.7992,NA,RI,:OCB
NA-RI,115,0,-106.89,21.7992,NA,RI,:OCB
NA-RI,115,1,-106.862,21.7156,NA,RI,:OCB
NA-RI,115,2,-106.808,21.6403,NA,RI,:OCB
NA-RI,115,3,-106.757,21.483,NA,RI,:OCB
NA-RI,115,4,-106.624,21.3106,NA,RI,:OCB
NA-RI,115,5,-106.551,21.2355,NA,RI,:OCB
NA-RI,115,6,-106.525,21.1838,NA,RI,:OCB
NA-RI,115,7,-106.442,21.1208,NA,RI,:OCB
NA-RI,115,8,-106.381,20.8397,NA,RI,:OCB
NA-RI,115,9,-106.387,20.6379,NA,RI,:OCB
NA-RI,115,10,-106.385,20.4281,NA,RI,:OCB
NA-RI,115,11,-106.352,20.2027,NA,RI,:OCB
NA-RI,115,12,-106.271,19.9158,NA,RI,:OCB
NA-RI,115,13,-106.121,19.6437,NA,RI,:OCB
NA-RI,115,14,-105.949,19.4019,NA,RI,:OCB
NA-RI,115,15,-105.739,19.1644,NA,RI,:OCB
NA-RI,115,16,-105.546,18.9807,NA,RI,:OCB
NA-RI,115,17,-105.247,18.7619,NA,RI,:OCB
RI-CO,116,0,-105.586,17.8808,RI,CO,:OCB*
RI-CO,116,1,-105.51,18.1403,RI,CO,:OCB*
RI-CO,116,2,-105.442,18.3552,RI,CO,:OCB*
RI-CO,116,3,-105.352,18.5511,RI,CO,:OCB*
RI-CO,116,4,-105.247,18.7619,RI,CO,:OCB*
PS-YA,117,0,121.575,24.6914,PS,YA,:CCB
PS-YA,117,1,121.335,24.963,PS,YA,:CCB
PS-YA,118,0,121.335,24.963,PS,YA,:CCB
PS-YA,118,1,120.981,24.6536,PS,YA,:CCB
PS-YA,118,2,120.546,23.9788,PS,YA,:CCB
PS-YA,118,3,120.36,23.1983,PS,YA,:CCB
PS-YA,118,4,120.394,22.5813,PS,YA,:CCB
PS-YA,118,5,120.425,22.0434,PS,YA,:CCB
PS-YA,118,6,120.452,21.6321,PS,YA,:CCB
PS-YA,119,0,120.452,21.6321,PS,YA,:CCB
PS-YA,119,1,120.344,21.2021,PS,YA,:CCB
PS-YA,119,2,120.29,20.6307,PS,YA,:CCB
PS-YA,119,3,120.502,20.255,PS,YA,:CCB
PS-YA,119,4,120.441,19.937,PS,YA,:CCB
PS-YA,119,5,120.115,19.4868,PS,YA,:CCB
PS-YA,119,6,119.795,18.8781,PS,YA,:CCB
PS-YA,119,7,119.279,18.2014,PS,YA,:CCB
PS-YA,119,8,119.161,17.629,PS,YA,:CCB
PS-YA,119,9,119.248,16.8402,PS,YA,:CCB
PS-YA,119,10,119.255,16.5557,PS,YA,:CCB
PS-SU,120,0,119.255,16.5557,PS,SU,:CTF*
PS-SU,120,1,119.728,16.407,PS,SU,:CTF*
PS-SU,120,2,120.201,16.2573,PS,SU,:CTF*
PS-SU,120,3,120.673,16.1065,PS,SU,:CTF*
PS-SU,120,4,121.145,15.9547,PS,SU,:CTF*
PS-SU,120,5,121.616,15.8018,PS,SU,:CTF*
PS-SU,120,6,122.086,15.6479,PS,SU,:CTF*
PS-SU,120,7,122.555,15.493,PS,SU,:CTF*
PS-SU,120,8,123.024,15.3372,PS,SU,:CTF*
PS-SU,120,9,123.492,15.1804,PS,SU,:CTF*
PS-SU,120,10,123.959,15.0226,PS,SU,:CTF*
PS-SU,120,11,124.425,14.8639,PS,SU,:CTF*
PS-SU,120,12,124.891,14.7042,PS,SU,:CTF*
PS-SU,121,0,124.891,14.7042,PS,SU,:CTF*
PS-SU,121,1,125.15,14.1321,PS,SU,:CTF*
PS-SU,121,2,125.494,13.3056,PS,SU,:CTF*
PS-SU,121,3,125.686,12.8181,PS,SU,:CTF*
PS-SU,121,4,126.137,12.2653,PS,SU,:CTF*
PS-SU,121,5,126.24,11.6304,PS,SU,:CTF*
PS-SU,121,6,126.214,11.0599,PS,SU,:CTF*
PS-SU,121,7,126.573,10.2964,PS,SU,:CTF*
PS-SU,121,8,126.824,9.44925,PS,SU,:CTF*
PS-SU,121,9,127.053,8.75031,PS,SU,:CTF*
PS-SU,121,10,127.219,8.13649,PS,SU,:CTF*
PS-SU,121,11,127.234,7.29165,PS,SU,:CTF*
PS-SU,121,12,127.25,6.44683,PS,SU,:CTF*
PS-SU,121,13,127.459,5.89653,PS,SU,:CTF*
PS-SU,121,14,127.498,5.47404,PS,SU,:CTF*
PS-SU,121,15,127.836,5.22401,PS,SU,:CTF*
PS-SU,121,16,128.151,4.76318,PS,SU,:CTF*
PS-SU,121,17,128.387,4.33466,PS,SU,:CTF*
PS-SU,121,18,128.684,3.70046,PS,SU,:CTF*
PS-SU,121,19,128.998,3.11403,PS,SU,:CTF*
PS-SU,121,20,129.217,2.67063,PS,SU,:CTF*
PS-SU,121,21,129.246,1.92806,PS,SU,:CTF*
PS-SU,121,22,129.197,1.05932,PS,SU,:CTF*
SU-BH,122,0,126.872,2.34565,SU,BH,CRB
SU-BH,122,1,127.446,2.31942,SU,BH,CRB
SU-BH,122,2,128.081,2.29031,SU,BH,CRB
